Season,Matchday,Team,Points,Rank
2019,14,Real Madrid,29,2
2019,14,Sevilla,27,3
2019,14,Atletico Madrid,25,4
2019,14,Athletic Club,23,5
2019,14,Real Sociedad,23,6
2019,14,Getafe,21,7
2019,14,Granada CF,21,8
2019,14,Levante,20,9
2019,14,Valencia,20,10
2019,14,Osasuna,19,11
2019,14,Alaves,18,12
2019,14,Villarreal,18,13
2019,14,Valladolid,17,14
2019,14,Real Betis,16,15
2019,14,Eibar,15,16
2019,14,Mallorca,14,17
2019,14,Celta Vigo,12,18
2019,14,Espanyol,9,19
2019,14,Leganes,6,20
2019,15,Barcelona,32,1
2019,15,Real Madrid,32,2
2019,15,Sevilla,30,3
2019,15,Athletic Club,26,4
2019,15,Real Sociedad,26,5
2019,15,Atletico Madrid,25,6
2019,15,Getafe,24,7
2019,15,Valencia,23,8
2019,15,Osasuna,22,9
2019,15,Granada CF,21,10
2019,15,Levante,20,11
2019,15,Real Betis,19,12
2019,15,Alaves,18,13
2019,15,Valladolid,18,14
2019,15,Villarreal,18,15
2019,15,Eibar,15,16
2019,15,Mallorca,14,17
2019,15,Celta Vigo,13,18
2019,15,Espanyol,9,19
2019,15,Leganes,6,20
2019,16,Barcelona,35,1
2019,16,Real Madrid,35,2
2019,16,Sevilla,31,3
2019,16,Getafe,27,4
2019,16,Real Sociedad,27,5
2019,16,Athletic Club,26,6
2019,16,Atletico Madrid,26,7
2019,16,Valencia,26,8
2019,16,Granada CF,24,9
2019,16,Osasuna,23,10
2019,16,Real Betis,22,11
2019,16,Levante,20,12
2019,16,Valladolid,19,13
2019,16,Villarreal,19,14
2019,16,Alaves,18,15
2019,16,Eibar,15,16
2019,16,Mallorca,14,17
2019,16,Celta Vigo,13,18
2019,16,Espanyol,9,19
2019,16,Leganes,9,20
2019,17,Barcelona,36,1
2019,17,Real Madrid,36,2
2019,17,Sevilla,31,3
2019,17,Getafe,30,4
2019,17,Atletico Madrid,29,5
2019,17,Real Sociedad,28,6
2019,17,Athletic Club,27,7
2019,17,Valencia,27,8
2019,17,Granada CF,24,9
2019,17,Levante,23,10
2019,17,Osasuna,23,11
2019,17,Real Betis,23,12
2019,17,Villarreal,22,13
2019,17,Alaves,19,14
2019,17,Valladolid,19,15
2019,17,Eibar,16,16
2019,17,Mallorca,15,17
2019,17,Celta Vigo,14,18
2019,17,Espanyol,10,19
2019,17,Leganes,10,20
2019,18,Barcelona,39,1
2019,18,Real Madrid,37,2
2019,18,Sevilla,34,3
2019,18,Atletico Madrid,32,4
2019,18,Real Sociedad,31,5
2019,18,Getafe,30,6
2019,18,Athletic Club,28,7
2019,18,Valencia,28,8
2019,18,Levante,26,9
2019,18,Villarreal,25,10
2019,18,Granada CF,24,11
2019,18,Osasuna,23,12
2019,18,Real Betis,23,13
2019,18,Valladolid,20,14
2019,18,Alaves,19,15
2019,18,Eibar,19,16
2019,18,Mallorca,15,17
2019,18,Celta Vigo,14,18
2019,18,Leganes,13,19
2019,18,Espanyol,10,20
2019,19,Barcelona,40,1
2019,19,Real Madrid,40,2
2019,19,Atletico Madrid,35,3
2019,19,Sevilla,35,4
2019,19,Real Sociedad,31,5
2019,19,Valencia,31,6
2019,19,Getafe,30,7
2019,19,Athletic Club,29,8
2019,19,Villarreal,28,9
2019,19,Granada CF,27,10
2019,19,Levante,26,11
2019,19,Osasuna,24,12
2019,19,Real Betis,24,13
2019,19,Valladolid,21,14
2019,19,Alaves,20,15
2019,19,Eibar,19,16
2019,19,Celta Vigo,15,17
2019,19,Mallorca,15,18
2019,19,Leganes,14,19
2019,19,Espanyol,11,20
2019,20,Barcelona,43,1
2019,20,Real Madrid,43,2
2019,20,Atletico Madrid,35,3
2019,20,Sevilla,35,4
2019,20,Getafe,33,5
2019,20,Real Sociedad,31,6
2019,20,Valencia,31,7
2019,20,Athletic Club,30,8
2019,20,Villarreal,28,9
2019,20,Granada CF,27,10
2019,20,Real Betis,27,11
2019,20,Levante,26,12
2019,20,Osasuna,25,13
2019,20,Alaves,23,14
2019,20,Eibar,22,15
2019,20,Valladolid,22,16
2019,20,Mallorca,18,17
2019,20,Celta Vigo,16,18
2019,20,Espanyol,14,19
2019,20,Leganes,14,20
2019,21,Real Madrid,46,1
2019,21,Barcelona,43,2
2019,21,Sevilla,38,3
2019,21,Atletico Madrid,36,4
2019,21,Getafe,36,5
2019,21,Real Sociedad,34,6
2019,21,Valencia,34,7
2019,21,Athletic Club,31,8
2019,21,Villarreal,31,9
2019,21,Osasuna,28,10
2019,21,Granada CF,27,11
2019,21,Real Betis,27,12
2019,21,Levante,26,13
2019,21,Alaves,23,14
2019,21,Eibar,23,15
2019,21,Valladolid,22,16
2019,21,Mallorca,18,17
2019,21,Celta Vigo,17,18
2019,21,Espanyol,15,19
2019,21,Leganes,15,20
2019,22,Real Madrid,49,1
2019,22,Barcelona,46,2
2019,22,Getafe,39,3
2019,22,Sevilla,39,4
2019,22,Valencia,37,5
2019,22,Atletico Madrid,36,6
2019,22,Real Sociedad,34,7
2019,22,Villarreal,34,8
2019,22,Athletic Club,31,9
2019,22,Granada CF,30,10
2019,22,Osasuna,28,11
2019,22,Real Betis,28,12
2019,22,Levante,26,13
2019,22,Valladolid,25,14
2019,22,Alaves,24,15
2019,22,Eibar,24,16
2019,22,Leganes,18,17
2019,22,Mallorca,18,18
2019,22,Celta Vigo,17,19
2019,22,Espanyol,15,20
2019,23,Real Madrid,52,1
2019,23,Barcelona,49,2
2019,23,Getafe,42,3
2019,23,Atletico Madrid,39,4
2019,23,Sevilla,39,5
2019,23,Real Sociedad,37,6
2019,23,Valencia,37,7
2019,23,Villarreal,35,8
2019,23,Athletic Club,31,9
2019,23,Granada CF,30,10
2019,23,Levante,29,11
2019,23,Osasuna,28,12
2019,23,Real Betis,28,13
2019,23,Alaves,27,14
2019,23,Valladolid,26,15
2019,23,Eibar,24,16
2019,23,Celta Vigo,20,17
2019,23,Espanyol,18,18
2019,23,Leganes,18,19
2019,23,Mallorca,18,20
2019,24,Real Madrid,53,1
2019,24,Barcelona,52,2
2019,24,Getafe,42,3
2019,24,Atletico Madrid,40,4
2019,24,Real Sociedad,40,5
2019,24,Sevilla,40,6
2019,24,Valencia,38,7
2019,24,Villarreal,38,8
2019,24,Granada CF,33,9
2019,24,Athletic Club,31,10
2019,24,Osasuna,31,11
2019,24,Levante,29,12
2019,24,Real Betis,29,13
2019,24,Alaves,27,14
2019,24,Valladolid,26,15
2019,24,Eibar,24,16
2019,24,Celta Vigo,21,17
2019,24,Mallorca,21,18
2019,24,Espanyol,19,19
2019,24,Leganes,19,20
2019,25,Barcelona,55,1
2019,25,Real Madrid,53,2
2019,25,Atletico Madrid,43,3
2019,25,Real Sociedad,43,4
2019,25,Sevilla,43,5
2019,25,Getafe,42,6
2019,25,Valencia,38,7
2019,25,Villarreal,38,8
2019,25,Granada CF,36,9
2019,25,Levante,32,10
2019,25,Athletic Club,31,11
2019,25,Osasuna,31,12
2019,25,Alaves,30,13
2019,25,Real Betis,30,14
2019,25,Valladolid,29,15
2019,25,Celta Vigo,24,16
2019,25,Eibar,24,17
2019,25,Mallorca,22,18
2019,25,Espanyol,19,19
2019,25,Leganes,19,20
2019,26,Real Madrid,56,1
2019,26,Barcelona,55,2
2019,26,Real Sociedad,46,3
2019,26,Sevilla,46,4
2019,26,Getafe,45,5
2019,26,Atletico Madrid,44,6
2019,26,Valencia,41,7
2019,26,Villarreal,38,8
2019,26,Granada CF,37,9
2019,26,Athletic Club,34,10
2019,26,Levante,32,11
2019,26,Alaves,31,12
2019,26,Osasuna,31,13
2019,26,Real Betis,30,14
2019,26,Valladolid,29,15
2019,26,Eibar,27,16
2019,26,Celta Vigo,25,17
2019,26,Mallorca,22,18
2019,26,Espanyol,20,19
2019,26,Leganes,20,20
2019,27,Barcelona,58,1
2019,27,Real Madrid,56,2
2019,27,Sevilla,47,3
2019,27,Getafe,46,4
2019,27,Real Sociedad,46,5
2019,27,Atletico Madrid,45,6
2019,27,Valencia,42,7
2019,27,Granada CF,38,8
2019,27,Villarreal,38,9
2019,27,Athletic Club,37,10
2019,27,Osasuna,34,11
2019,27,Levante,33,12
2019,27,Real Betis,33,13
2019,27,Alaves,32,14
2019,27,Valladolid,29,15
2019,27,Eibar,27,16
2019,27,Celta Vigo,26,17
2019,27,Mallorca,25,18
2019,27,Leganes,23,19
2019,27,Espanyol,20,20
2019,28,Barcelona,61,1
2019,28,Real Madrid,59,2
2019,28,Sevilla,50,3
2019,28,Real Sociedad,47,4
2019,28,Atletico Madrid,46,5
2019,28,Getafe,46,6
2019,28,Valencia,43,7
2019,28,Granada CF,41,8
2019,28,Villarreal,41,9
2019,28,Athletic Club,38,10
2019,28,Osasuna,35,11
2019,28,Levante,34,12
2019,28,Real Betis,33,13
2019,28,Alaves,32,14
2019,28,Valladolid,32,15
2019,28,Eibar,27,16
2019,28,Celta Vigo,26,17
2019,28,Mallorca,25,18
2019,28,Espanyol,23,19
2019,28,Leganes,23,20
2019,29,Barcelona,64,1
2019,29,Real Madrid,62,2
2019,29,Sevilla,51,3
2019,29,Atletico Madrid,49,4
2019,29,Getafe,47,5
2019,29,Real Sociedad,47,6
2019,29,Villarreal,44,7
2019,29,Valencia,43,8
2019,29,Granada CF,42,9
2019,29,Athletic Club,39,10
2019,29,Alaves,35,11
2019,29,Levante,35,12
2019,29,Osasuna,35,13
2019,29,Real Betis,34,14
2019,29,Valladolid,33,15
2019,29,Eibar,28,16
2019,29,Celta Vigo,27,17
2019,29,Mallorca,25,18
2019,29,Espanyol,24,19
2019,29,Leganes,23,20
2019,30,Barcelona,65,1
2019,30,Real Madrid,65,2
2019,30,Atletico Madrid,52,3
2019,30,Sevilla,52,4
2019,30,Getafe,48,5
2019,30,Real Sociedad,47,6
2019,30,Villarreal,47,7
2019,30,Valencia,46,8
2019,30,Athletic Club,42,9
2019,30,Granada CF,42,10
2019,30,Levante,38,11
2019,30,Alaves,35,12
2019,30,Osasuna,35,13
2019,30,Real Betis,34,14
2019,30,Valladolid,33,15
2019,30,Celta Vigo,30,16
2019,30,Eibar,29,17
